,Code,Name,Gender,Age,NOC,Country,Discipline,Sport,Event,Rank,Medal,year
2631,1314291,CORRALES RODAL Rodrigo,Male,30,ESP,Spain,HBL,Handball,Men Team,3,Bronze,2020
2632,1353782,CORREA Ana Beatriz,Female,29,BRA,Brazil,VVO,Volleyball,Women Team,2,Silver,2020
2633,1355033,CORREA Matheus,Male,21,BRA,Brazil,ATH,Athletics,Men's 20km Race Walk,46,NA,2020
2634,1328949,CORREIA Breno,Male,22,BRA,Brazil,SWM,Swimming,Men's 4 x 100m Freestyle Relay Team,8,NA,2020
2635,1328949,CORREIA Breno,Male,22,BRA,Brazil,SWM,Swimming,Men's 4 x 200m Freestyle Relay Team,8,NA,2020
2636,1353808,CORREIA De SOUZA Douglas,Male,25,BRA,Brazil,VVO,Volleyball,Men Team,4,NA,2020
2637,1348230,CORRIGAN Liam,Male,23,USA,United States,ROW,Rowing,Men's Eight Team,4,NA,2020
2638,1355328,CORTES JUNCOSA Francisco,Male,38,ESP,Spain,HOC,Hockey,Men Team,8,NA,2020
2639,1281495,COSCORAN Andrew,Male,25,IRL,Ireland,ATH,Athletics,Men's 1500m,NA,NA,2020
2640,1398972,COSNEFROY Benoit,Male,25,FRA,France,CRD,Cycling Road,Men's Road Race,57,NA,2020
2641,1334027,COSSER Christopher,Male,20,RSA,South Africa,CLB,Sport Climbing,Men's Combined,16,NA,2020
2642,1450900,COSTA Afonso,Male,25,POR,Portugal,ROW,Rowing,Lightweight Men's Double Sculls Team,13,NA,2020
2643,1361780,COSTA BIONDI Valentina Isabel,Female,25,ARG,Argentina,HOC,Hockey,Women Team,2,Silver,2020
2644,1465983,COSTA Catarina,Female,24,POR,Portugal,JUD,Judo,Women -48 kg,5,NA,2020
2645,1859937,COSTA Chiara,Female,46,SEN,Senegal,SHO,Shooting,Skeet Women,28,NA,2020
2646,1450916,COSTA Diogo,Male,23,POR,Portugal,SAL,Sailing,Men's Two Person Dinghy - 470 Team,15,NA,2020
2647,1328981,COSTA Guilherme,Male,22,BRA,Brazil,SWM,Swimming,Men's 400m Freestyle,NA,NA,2020
